variant,fold,seed,auc,auprc,sens,spec,auc_matched,auc_zoom_in,auc_shift,auc_rotate,auc_low_contr,auc_bright,auc_blur,auc_lowres,auc_perturbed_mean,robustness_drop
crop,0,0,0.9991962222445493,0.9997352007508991,0.9897039897039897,0.9925650557620818,0.9981703090293252,0.9980718902651988,0.9989091587604599,0.9982728347040615,0.9991053188079211,0.9984450727945151,0.9988517460636419,0.9989617870658762,0.9986596869230964,0.0005365353214529245
crop,0,1,0.9995837579480702,0.9998575402973496,0.9935649935649936,0.9888475836431226,0.9991662693698606,0.9987225674958017,0.9990670436767091,0.9988469616722405,0.9995024232942449,0.9983780913148943,0.9992344973757613,0.9993636759436015,0.9990164658247505,0.0005672921233197403
crop,1,0,0.9995137995137995,0.9998339720079737,0.9871299871299871,1.0,0.9990818167872596,0.9986176652843319,0.9990275990275991,0.9993564993564993,0.9994708994708994,0.997011297011297,0.9994994994994995,0.9995280995280996,0.9989302227397465,0.0005835767740529629
crop,1,1,0.999323132656466,0.9997670972501482,0.9858429858429858,0.9925925925925926,0.9990181712436048,0.9987797321130655,0.9991944325277659,0.9992420992420993,0.9991515324848658,0.9974593641260308,0.9993040659707327,0.9992992992992993,0.9989186465376942,0.0004044861187717519
crop,2,0,0.9995852995852996,0.9998608106504259,0.9897039897039897,1.0,0.9988725044714103,0.9994756661423329,0.9993850993850993,0.9996091329424663,0.9994756661423329,0.9991562991562992,0.9995614662281328,0.9995662328995663,0.9994613661280327,0.00012393345726691152
crop,2,1,0.9995566995566996,0.9998479820105544,0.9845559845559846,0.9962962962962963,0.9989012374747553,0.9992087325420659,0.9995709995709996,0.9995137995137996,0.9995662328995663,0.9992277992277991,0.9994136994136994,0.9994661327994662,0.999423913709628,0.00013278584707154817
softmask,0,0,0.999387597900609,0.999786591522072,0.9871299871299871,0.9962825278810409,0.998632810650519,0.9988948055862553,0.9991148875907241,0.99826805031266,0.9990957500251181,0.9993828135092075,0.9987082143215972,0.998823039715233,0.998898223008685,0.0004893748919240215
softmask,0,1,0.9995215608598509,0.9998374279715858,0.9948519948519948,0.9888475836431226,0.9987612006824933,0.998842177280839,0.9987751958012181,0.9990574748939062,0.9994067354662151,0.999387597900609,0.9993206164209882,0.9994737169458359,0.9991805021013731,0.00034105875847778577
softmask,1,0,0.9995185661852328,0.9998345925450822,0.9897039897039897,0.9962962962962963,0.9989042618430247,0.9985318651985319,0.9993421993421994,0.9992325658992326,0.9992802326135659,0.9993421993421994,0.9990371323704657,0.9990657323990657,0.9991188467378943,0.00039971944733852016
softmask,1,1,0.998732065398732,0.9995582763231436,0.9884169884169884,0.9851851851851852,0.9976948454012158,0.9980837980837982,0.9985270985270985,0.9987511320844653,0.9987082320415654,0.9983221316554649,0.998660565327232,0.9986891653558321,0.9985345890107794,0.00019747638795264422
softmask,2,0,0.9996806330139664,0.9998897942486695,0.9871299871299871,1.0,0.9993395472190669,0.9995137995137995,0.9995566995566996,0.9995614662281329,0.9997282997282997,0.999675866342533,0.9995519328852662,0.999604366271033,0.9995989186465376,8.171436742876459e-05
softmask,2,1,0.9996234329567663,0.999872753384222,0.9858429858429858,1.0,0.9988863357688605,0.9991562991562992,0.9995042661709328,0.9995471662138329,0.9996186662853329,0.9994041660708327,0.9996234329567663,0.999661566328233,0.9995022233117471,0.0001212096450191602
hardmask,0,0,0.9972059154215288,0.999070716929167,0.9819819819819819,0.9814126394052045,0.9927313665273969,0.997335093989369,0.9966030821049409,0.9955313784310067,0.996545669408123,0.9961102897905871,0.9957323228698693,0.995961973657141,0.9962599728930054,0.0009459425285234246
hardmask,0,1,0.9970623836794841,0.9990776517024987,0.9781209781209781,0.9925650557620818,0.9902049627817471,0.9961294273561931,0.9966939855415692,0.995631850650438,0.9957084009128618,0.993919038528704,0.9957323228698693,0.9957705980010813,0.9956550891229593,0.001407294556524774
hardmask,1,0,0.9949759283092616,0.998341103695618,0.9601029601029601,0.9888888888888889,0.9899688057691834,0.9929119595786262,0.9943419610086277,0.9946327279660613,0.9936078936078936,0.9932027265360599,0.9933647933647934,0.9939415606082274,0.9937148032386128,0.0012611250706487942
hardmask,1,1,0.9952666952666953,0.9983819012402646,0.9652509652509652,0.9777777777777777,0.9901649412625302,0.994418227751561,0.9951570618237285,0.9952333285666619,0.9943228943228943,0.9937461270794604,0.9937461270794604,0.9939844606511273,0.9943726038964134,0.0008940913702819575
hardmask,2,0,0.9965632298965632,0.9987812331793298,0.9806949806949807,0.9703703703703703,0.9903425789869276,0.997235330568664,0.9973973973973974,0.9964011630678298,0.9966633299966634,0.9949044282377615,0.9960913294246627,0.996053196053196,0.9963923106780249,0.00017091921853829017
hardmask,2,1,0.9975785309118642,0.999184754311355,0.9703989703989704,0.9851851851851852,0.9947844065621538,0.9963391963391963,0.997011297011297,0.996205729539063,0.9970875637542305,0.9961056294389627,0.9968873635540302,0.9967538967538967,0.9966272394843824,0.0009512914274818485
centercrop,0,0,0.9992057910273524,0.9997321420955223,0.990990990990991,0.9888475836431226,0.9977396860955607,0.9975838823422467,0.9989043743690584,0.9986173108849689,0.9989904934142853,0.9967944577610005,0.9989570026744747,0.9990479061111032,0.9984136325081625,0.0007921585191899005
centercrop,0,1,0.9990239841540958,0.9996743067775788,0.9794079794079794,1.0,0.9970947260540606,0.9974403506002019,0.999105318807921,0.9989043743690584,0.9988230397152331,0.9977321984756928,0.9988756680206494,0.998937865108869,0.9985455450139465,0.00047843914014922273
centercrop,1,0,0.9982267982267983,0.9993953551066863,0.9871299871299871,0.9703703703703703,0.9965026375326038,0.9974116974116973,0.9982267982267983,0.9976071309404643,0.9977024643691311,0.995924495924496,0.9984603651270318,0.9984317650984318,0.99768067387115,0.0005461243556482698
centercrop,1,1,0.9987368320701654,0.9995673994771198,0.9703989703989704,0.9962962962962963,0.9974894413949175,0.998112398112398,0.9986986986986988,0.9981743648410315,0.9983030649697315,0.9956337289670624,0.9986843986843987,0.9986176652843319,0.9980320456510933,0.0007047864190721231
